"norm","t","skst","ald","aparch-skst","NA","fix.ald","his"
"18",-0.0419353110345602,-0.0438848591851593,-0.0455841594950783,-0.0607759688824816,-0.0451544784113155,-0.0451544784113155,-0.0781218240708207,-0.0694756783864305
"19",-0.0423731591805503,-0.0446240181892024,-0.0485587768886291,-0.0635321535022208,-0.0446695687122652,-0.0446695687122652,-0.0781218240708207,-0.0694756783864305
"20",-0.040882968003644,-0.0411141167985869,-0.0421033097288284,-0.0550003959581053,-0.0451684338799245,-0.0451684338799245,-0.0781218240708207,-0.0694756783864305
"21",-0.0393102914564306,-0.0377154539390086,-0.0370260896285197,-0.0471365545645385,-0.0441788664566933,-0.0441788664566933,-0.0780317301407571,-0.0694756783864305
"22",-0.0379063751101523,-0.0348178525726973,-0.0335709382560315,-0.0406039894131649,-0.0439096253050546,-0.0439096253050546,-0.0780317301407571,-0.0694756783864305
"23",-0.0371868241912147,-0.0337416599807061,-0.0346249351923624,-0.0414151954493101,-0.0427135515523757,-0.0427135515523757,-0.0780317301407571,-0.0694756783864305
"24",-0.0369101717711023,-0.0339690863679846,-0.0372328340681896,-0.0468395404151743,-0.0449968024290416,-0.0449968024290416,-0.0780317301407571,-0.0694756783864305
"25",-0.0395484333258293,-0.0413934388135671,-0.0536371493765508,-0.0616231637022498,-0.0466876177430766,-0.0466876177430766,-0.0780317301407571,-0.0694756783864305
"26",-0.0381776967407471,-0.0381613047700898,-0.0449395290807825,-0.0543606955847073,-0.0447979026361163,-0.0447979026361163,-0.0780979028761606,-0.0692314754988928
"27",-0.0372956552824873,-0.0362167193653003,-0.0409295317370064,-0.0510439498755696,-0.044135783665516,-0.044135783665516,-0.0780979028761606,-0.0692314754988928
"28",-0.0421899627959308,-0.0475847528010998,-0.0671249844298642,-0.0676779425513425,-0.0432186880829826,-0.0432186880829826,-0.0780979028761606,-0.0692314754988928
"29",-0.0415961576489932,-0.0455611742947422,-0.0558954479496852,-0.066482002235449,-0.0479123082708626,-0.0479123082708626,-0.0780979028761606,-0.0692314754988928
"30",-0.0460042211019453,-0.0540108132271541,-0.0660339520296686,-0.0812140005571179,-0.050785383629304,-0.050785383629304,-0.0780979028761606,-0.0692314754988928
"31",-0.0444314490155777,-0.0496023092574883,-0.0533047808668815,-0.0720853403236587,-0.0494279883770617,-0.0494279883770617,-0.0780562083054993,-0.0692314754988928
"32",-0.0489233710818923,-0.0578401845741858,-0.0686573980311093,-0.0864433483515416,-0.0574280161722986,-0.0574280161722986,-0.0780562083054993,-0.0692314754988928
"33",-0.0468404472447266,-0.0522967620245983,-0.0541240884077835,-0.0724415637374751,-0.0525560504026854,-0.0525560504026854,-0.0780562083054993,-0.0692314754988928
"34",-0.0455034669030225,-0.0488098181701274,-0.0469400321708495,-0.0679614242622127,-0.055156019292005,-0.055156019292005,-0.0780562083054993,-0.0692314754988928
"35",-0.0443588379680965,-0.0459708322702124,-0.0434453917797331,-0.0637304440231204,-0.0503536357413574,-0.0503536357413574,-0.0780562083054993,-0.0692314754988928
"36",-0.0464962331074222,-0.0507684284935746,-0.0575481854685843,-0.0746789949335127,-0.0591605926500423,-0.0591605926500423,-0.0779344283461023,-0.0692314754988928
"37",-0.0447330226380703,-0.046535910829265,-0.0474756200433486,-0.0656514750125987,-0.0527187930736704,-0.0527187930736704,-0.0779344283461023,-0.0692314754988928
"38",-0.0433616460629174,-0.0434256056511236,-0.0425368976393677,-0.0601788359156004,-0.0542232494526652,-0.0542232494526652,-0.0779344283461023,-0.0692314754988928
"39",-0.0434016778117599,-0.0437752995405061,-0.0456101796654386,-0.0629554954265999,-0.0510268776887712,-0.0510268776887712,-0.0779344283461023,-0.0692314754988928
"40",-0.0426639404609727,-0.0424100511781299,-0.0433509777511386,-0.0628837927395353,-0.054746730713348,-0.054746730713348,-0.0779344283461023,-0.0692314754988928
"41",-0.0424721360342159,-0.0424444337022033,-0.04420906227856,-0.0648949291180786,-0.0518172715838283,-0.0518172715838283,-0.0781208505391807,-0.0692314754988928
"42",-0.0423111365535314,-0.0424769363317384,-0.0444293202088845,-0.0663881204296197,-0.053552917690033,-0.053552917690033,-0.0781208505391807,-0.0692314754988928
"43",-0.0414587003322598,-0.0407232529872664,-0.0417958829035483,-0.0627081779422952,-0.0494501854469481,-0.0494501854469481,-0.0781208505391807,-0.0692314754988928
