"norm","t","skst","ald","aparch-skst","NA","fix.ald","his"
"46",-0.037518950370301,-0.0375377257923043,-0.0542378624311903,-0.059133999941933,-0.0439472320414996,-0.0439472320414996,-0.0723953377107092,-0.0710506230455354
"47",-0.0393432504664987,-0.0393174885442089,-0.0544887883876498,-0.0659313189575851,-0.0441188656192674,-0.0441188656192674,-0.0723953377107092,-0.0710506230455354
"48",-0.0440874265803042,-0.0439632838596338,-0.0546371040012905,-0.0785279849861652,-0.0440981083088565,-0.0440981083088565,-0.0723953377107092,-0.0710506230455354
"49",-0.0427364830697506,-0.0426816797971829,-0.0544497046003926,-0.0701759376878766,-0.0457038748801182,-0.0457038748801182,-0.0723953377107092,-0.0710506230455354
"50",-0.0413917725461912,-0.0411969856912016,-0.0546168119375021,-0.0621528048771727,-0.0430777683794555,-0.0430777683794555,-0.0723953377107092,-0.0710506230455354
"51",-0.039858378106067,-0.0391536619029381,-0.0544297893139167,-0.0564199314782755,-0.0446200105986577,-0.0446200105986577,-0.0723145957340139,-0.0706757973908564
"52",-0.038812514231614,-0.0380389313024271,-0.0542542171906327,-0.053787687541011,-0.0423894198256018,-0.0423894198256018,-0.0723145957340139,-0.0706757973908564
"53",-0.0375862107415623,-0.0366616236506927,-0.0541506385267222,-0.0492578309144296,-0.0434874512872346,-0.0434874512872346,-0.0723145957340139,-0.0706757973908564
"54",-0.0363391626605132,-0.0352210943151355,-0.0541192198116023,-0.0438639081071513,-0.0416045533709458,-0.0416045533709458,-0.0723145957340139,-0.0706757973908564
"55",-0.0360501665154718,-0.0348780502506721,-0.0543485292896329,-0.0473233290523278,-0.0420009338748547,-0.0420009338748547,-0.0723145957340139,-0.0706757973908564
"56",-0.0361519035465647,-0.0350043818893748,-0.0545068617722036,-0.0516810357309172,-0.0410092026949877,-0.0410092026949877,-0.0722153342931244,-0.0706757973908564
"57",-0.0349806807293774,-0.0336297475113614,-0.0544904070791067,-0.0449442217608115,-0.0417213345638029,-0.0417213345638029,-0.0722153342931244,-0.0706757973908564
"58",-0.0376458079860813,-0.0367870337218142,-0.0542625402113287,-0.0589032362889145,-0.0430544299426462,-0.0430544299426462,-0.0722153342931244,-0.0706757973908564
"59",-0.0380674122241999,-0.0372698321779044,-0.0545199150022029,-0.0618324282690381,-0.0416783361236925,-0.0416783361236925,-0.0722153342931244,-0.0706757973908564
"60",-0.038185721301124,-0.037409468539429,-0.054773412835245,-0.0627346470506673,-0.0424706146087349,-0.0424706146087349,-0.0722153342931244,-0.0706757973908564
"61",-0.0370389519286397,-0.036130028772101,-0.0545724890494869,-0.0563588053790016,-0.0418600211171345,-0.0418600211171345,-0.0721055753051364,-0.0706757973908564
"62",-0.035936756017494,-0.0348725405901168,-0.0544534722957469,-0.0511136308182252,-0.0416188249760814,-0.0416188249760814,-0.0721055753051364,-0.0706757973908564
"63",-0.0347807175722055,-0.0335082274418225,-0.0544317182446083,-0.0445358983977189,-0.0408992110116068,-0.0408992110116068,-0.0721055753051364,-0.0706757973908564
"64",-0.0338593935527979,-0.0323913744644762,-0.0545555920192027,-0.0423667071378072,-0.04051533616593,-0.04051533616593,-0.0721055753051364,-0.0706757973908564
"65",-0.0357293013761776,-0.0346867408114772,-0.0543053954887102,-0.0541018723415293,-0.042535352376161,-0.042535352376161,-0.0721055753051364,-0.0706757973908564
"66",-0.0346172111176041,-0.033380421755027,-0.0542038220676892,-0.0469432779991673,-0.0406879277168457,-0.0406879277168457,-0.0720274791323918,-0.0706757973908564
"67",-0.0336711948046607,-0.0322306682273578,-0.0543167534798631,-0.0437233344359177,-0.0412745213307609,-0.0412745213307609,-0.0720274791323918,-0.0706757973908564
"68",-0.0362438463640335,-0.0352758789807033,-0.0540828910273277,-0.0570757370651451,-0.0427457678961278,-0.0427457678961278,-0.0720274791323918,-0.0706757973908564
"69",-0.0355136616013089,-0.0344820207550733,-0.0539065849825848,-0.0542699487998828,-0.0419612466142263,-0.0419612466142263,-0.0720274791323918,-0.0706757973908564
"70",-0.0344671434721832,-0.0332207468770401,-0.0540111209393403,-0.0487746915003092,-0.0415345359216963,-0.0415345359216963,-0.0720274791323918,-0.0706757973908564
"71",-0.0344612308863032,-0.034503483764124,-0.0537252347095226,-0.0517074900785492,-0.0422124479251185,-0.0422124479251185,-0.072010735469622,-0.0706757973908564
"72",-0.038509447867201,-0.0387199666424518,-0.0535519820987751,-0.0662009453890227,-0.0444386685406353,-0.0444386685406353,-0.072010735469622,-0.0706757973908564
"73",-0.0372365095317532,-0.0373480966007502,-0.053663073558122,-0.0577017999344952,-0.0428943535858535,-0.0428943535858535,-0.072010735469622,-0.0706757973908564
"74",-0.0361826317918406,-0.0362292110629879,-0.0538138400114643,-0.0529544408271438,-0.0432554503413487,-0.0432554503413487,-0.072010735469622,-0.0706757973908564
"75",-0.0356756394052852,-0.0357786833321788,-0.0540280726956649,-0.0527789102950666,-0.0419887750068245,-0.0419887750068245,-0.072010735469622,-0.0706757973908564
"76",-0.0406520015268694,-0.0400019539452324,-0.0538764003484937,-0.0700086602340338,-0.0472385586761423,-0.0472385586761423,-0.0720533080313539,-0.070349169058934
"77",-0.0421832603459989,-0.0419017893542083,-0.0541191550296455,-0.0748931555158363,-0.0434924872602585,-0.0434924872602585,-0.0720533080313539,-0.070349169058934
"78",-0.0408604039675722,-0.0404708275243305,-0.0539594295808048,-0.0661743620847422,-0.0476050564831449,-0.0476050564831449,-0.0720533080313539,-0.070349169058934
"79",-0.0412519950649688,-0.0410618440351757,-0.05421754528224,-0.0685229859163018,-0.0427618886201151,-0.0427618886201151,-0.0720533080313539,-0.070349169058934
"80",-0.0397163112833588,-0.0393354269521642,-0.0541964503578452,-0.0573824196646969,-0.047046958196959,-0.047046958196959,-0.0720533080313539,-0.070349169058934
"81",-0.0391962749845254,-0.0390987515487817,-0.0538994501013002,-0.057573768284188,-0.0430551284358655,-0.0430551284358655,-0.071995397303268,-0.070349169058934
"82",-0.0440622447122219,-0.0442042085374862,-0.0538057936561482,-0.0745929477592701,-0.0506504946846412,-0.0506504946846412,-0.071995397303268,-0.070349169058934
"83",-0.0423278682976516,-0.0423188852518092,-0.0537779510329457,-0.0622102668914134,-0.045556562962437,-0.045556562962437,-0.071995397303268,-0.070349169058934
"84",-0.0407078185842394,-0.0405357546824194,-0.0537854149635986,-0.0523696039416416,-0.0488347447451485,-0.0488347447451485,-0.071995397303268,-0.070349169058934
"85",-0.0396025606595951,-0.0393305910938876,-0.0536150378112364,-0.0506001349725573,-0.0452754582458838,-0.0452754582458838,-0.071995397303268,-0.070349169058934
"86",-0.0395288145911854,-0.0391542846979992,-0.0533510980012477,-0.054700897510296,-0.0485105318452709,-0.0485105318452709,-0.0719697853870242,-0.070349169058934
"87",-0.038911723563502,-0.0385106696404074,-0.0531490634251289,-0.054745792723,-0.0455402447944657,-0.0455402447944657,-0.0719697853870242,-0.070349169058934
"88",-0.0388353477052344,-0.038538443631206,-0.0533955106475228,-0.0581696473855265,-0.0464962663639084,-0.0464962663639084,-0.0719697853870242,-0.070349169058934
"89",-0.0374683863029793,-0.0369671581091063,-0.0534437729330084,-0.0499669684977881,-0.045253540785243,-0.045253540785243,-0.0719697853870242,-0.070349169058934
"90",-0.0361950665433685,-0.0354862567341339,-0.0534729402100444,-0.0432131446097488,-0.0453218575902539,-0.0453218575902539,-0.0719697853870242,-0.070349169058934
"91",-0.0373923479485598,-0.0369125317838842,-0.0531739529402956,-0.0533035165113985,-0.0461293763740927,-0.0461293763740927,-0.0716434044296142,-0.070349169058934
"92",-0.0361809558307501,-0.0355024185082731,-0.0531320763184152,-0.0474313129290146,-0.0448914587344714,-0.0448914587344714,-0.0716434044296142,-0.070349169058934
"93",-0.0357796656362895,-0.0351133395081137,-0.0533538947589609,-0.0497471056814991,-0.0445555946982369,-0.0445555946982369,-0.0716434044296142,-0.070349169058934
"94",-0.0436250063759121,-0.0429780031219977,-0.0534258158927519,-0.0751610647916126,-0.0443969356596217,-0.0443969356596217,-0.0716434044296142,-0.070349169058934
"95",-0.0420249370943155,-0.041272222749275,-0.0533335323614556,-0.0646065512576577,-0.0462056598857278,-0.0462056598857278,-0.0716434044296142,-0.070349169058934
"96",-0.0409618913182124,-0.0401133287200291,-0.0534856756052017,-0.0610612045295872,-0.0432850900869504,-0.0432850900869504,-0.0713901916479275,-0.070349169058934
"97",-0.0408128237671988,-0.0401193585674873,-0.0532504243817739,-0.0625629936801943,-0.0468602284550437,-0.0468602284550437,-0.0713901916479275,-0.070349169058934
"98",-0.0393148726781816,-0.0384623135758319,-0.0532401455401332,-0.0534629439222672,-0.0431268475138911,-0.0431268475138911,-0.0713901916479275,-0.070349169058934
"99",-0.0380544573667168,-0.0370685857046979,-0.0531470354990199,-0.0489925694937628,-0.0456165172285839,-0.0456165172285839,-0.0713901916479275,-0.070349169058934
"100",-0.039479819759867,-0.0388293135274651,-0.0529262496780116,-0.0588263938051613,-0.0444491080479867,-0.0444491080479867,-0.0713901916479275,-0.070349169058934
"101",-0.0383456127791201,-0.0376437988404128,-0.0530441418788287,-0.0548202274009039,-0.0443125322922107,-0.0443125322922107,-0.0714769191217814,-0.0701893090787055
"102",-0.0429549327223134,-0.0427133776178502,-0.0532038862369949,-0.0723131428576678,-0.0434294635648647,-0.0434294635648647,-0.0714769191217814,-0.0701893090787055
"103",-0.0413720870198378,-0.0409992149409931,-0.0533264999750083,-0.0623219993959475,-0.0449527031551911,-0.0449527031551911,-0.0714769191217814,-0.0701893090787055
"104",-0.0403534643563412,-0.039955609929994,-0.0535350643159146,-0.0590903087434002,-0.0425829977511886,-0.0425829977511886,-0.0714769191217814,-0.0701893090787055
"105",-0.0391253974519038,-0.0385983482939244,-0.0533950830821993,-0.0544539251553136,-0.0445236493722939,-0.0445236493722939,-0.0714769191217814,-0.0701893090787055
"106",-0.037790944647937,-0.0369965896965628,-0.05344339711519,-0.0492115543885109,-0.0417232886660141,-0.0417232886660141,-0.0713782329960756,-0.0701893090787055
"107",-0.0370029891471964,-0.0361507590876975,-0.0536435425209435,-0.0489680091672445,-0.0432079589611163,-0.0432079589611163,-0.0713782329960756,-0.0701893090787055
"108",-0.0375382361330815,-0.0368668977774642,-0.0533992135691722,-0.0552882131905507,-0.0427181302727047,-0.0427181302727047,-0.0713782329960756,-0.0701893090787055
"109",-0.0383956561051088,-0.0379498449050123,-0.0536546159574148,-0.0608906575027279,-0.0422178278130324,-0.0422178278130324,-0.0713782329960756,-0.0701893090787055
"110",-0.0387696498041251,-0.0384652040257222,-0.0534099975964076,-0.0635408607288842,-0.0441946675564849,-0.0441946675564849,-0.0713782329960756,-0.0701893090787055
"111",-0.0385534266894542,-0.0383258132431811,-0.0531352446773055,-0.0630173899421965,-0.0428550869706833,-0.0428550869706833,-0.0716241458431327,-0.0701893090787055
"112",-0.0439601029907837,-0.0439551631309948,-0.0530781993543166,-0.0786843163295695,-0.0481869098580287,-0.0481869098580287,-0.0716241458431327,-0.0701893090787055
"113",-0.0505083453962874,-0.0507480351495198,-0.0531813760376107,-0.0935938180096765,-0.0508969930115984,-0.0508969930115984,-0.0716241458431327,-0.0701893090787055
"114",-0.0482830090696258,-0.0484381153765982,-0.0532737268871075,-0.0765092211852752,-0.050181119558741,-0.050181119558741,-0.0716241458431327,-0.0701893090787055
"115",-0.0484070063975826,-0.0488444735435409,-0.053049289020657,-0.0777363626334007,-0.051724344680579,-0.051724344680579,-0.0716241458431327,-0.0701893090787055
"116",-0.050496758754683,-0.0514327631917801,-0.0532874720454846,-0.0853305577781409,-0.0495279321629822,-0.0495279321629822,-0.0714436540865903,-0.0701893090787055
"117",-0.0483275117327087,-0.0491527698443458,-0.0534122160381034,-0.0717519169568326,-0.0517295131269727,-0.0517295131269727,-0.0714436540865903,-0.0701893090787055
"118",-0.0464833121847906,-0.0471911087311497,-0.0532667463832473,-0.0638317434399085,-0.0490043305059128,-0.0490043305059128,-0.0714436540865903,-0.0701893090787055
"119",-0.0448455159538402,-0.0454316635603633,-0.0531132254042559,-0.058630338091074,-0.0504842164281604,-0.0504842164281604,-0.0714436540865903,-0.0701893090787055
"120",-0.0434363761748758,-0.0439391664630448,-0.0533113606108838,-0.0559031126905993,-0.0477194093013947,-0.0477194093013947,-0.0714436540865903,-0.0701893090787055
"121",-0.041782838744537,-0.0421179139784572,-0.0531572612099789,-0.0498816804634297,-0.0495300432598194,-0.0495300432598194,-0.0714652457160659,-0.0701893090787055
"122",-0.0472790442819662,-0.0477855965309743,-0.0531534642984799,-0.0736239315726936,-0.0514740814012273,-0.0514740814012273,-0.0714652457160659,-0.0701893090787055
"123",-0.0464949794655348,-0.0471328613749958,-0.0534038331294365,-0.0717722863790242,-0.0503910707776043,-0.0503910707776043,-0.0714652457160659,-0.0701893090787055
"124",-0.0445563508981493,-0.0450293040999574,-0.0534476551353279,-0.0598116247932347,-0.0507647616173135,-0.0507647616173135,-0.0714652457160659,-0.0701893090787055
"125",-0.0442529886378717,-0.0448708163759936,-0.0537020265467227,-0.0628879314072588,-0.0489662452419925,-0.0489662452419925,-0.0714652457160659,-0.0701893090787055
"126",-0.0433590717597889,-0.0439522086840192,-0.0534518498678256,-0.0619261326621662,-0.0508505078918562,-0.0508505078918562,-0.0714481551526539,-0.0697673315626171
"127",-0.0431609014314808,-0.0438796630355083,-0.0537059787934446,-0.0642941229417343,-0.0477095090662576,-0.0477095090662576,-0.0714481551526539,-0.0697673315626171
"128",-0.0420836945515199,-0.0426921154848851,-0.0534955756443106,-0.0610927179693549,-0.0508214594562471,-0.0508214594562471,-0.0714481551526539,-0.0697673315626171
"129",-0.042779366217299,-0.0435055655141125,-0.0532592888794957,-0.0664376904072685,-0.0484618902569203,-0.0484618902569203,-0.0714481551526539,-0.0697673315626171
"130",-0.0447279930547578,-0.0456617441357853,-0.0530742083301074,-0.0743624229105621,-0.0524865150981224,-0.0524865150981224,-0.0714481551526539,-0.0697673315626171
"131",-0.0523638411258795,-0.053328322314086,-0.0530263147006105,-0.0941394070125401,-0.0491727213266191,-0.0491727213266191,-0.0711805242839833,-0.0697673315626171
"132",-0.0500858178297863,-0.0509809432067923,-0.0531733080636037,-0.0786038761384707,-0.0534546724511098,-0.0534546724511098,-0.0711805242839833,-0.0697673315626171
