"norm","t","skst","ald","aparch-skst","fix.ald","his"
"1",-0.0271211416592132,-0.0263335034081707,-0.0319602867822117,-0.0347626520845339,-0.0420517425684943,-0.0645704042633596,-0.0586223082962319
"2",-0.0262230218404401,-0.0245506947236049,-0.0286901148640968,-0.0314149564848823,-0.0416377658507467,-0.0645704042633596,-0.0586223082962319
"3",-0.025381980866984,-0.0230229975003547,-0.026252404657758,-0.029627763242403,-0.0412929728556247,-0.0645704042633596,-0.0586223082962319
"4",-0.0254317792956545,-0.0237586025128214,-0.0282054164599394,-0.0331150306476089,-0.0408768639961599,-0.0645704042633596,-0.0586223082962319
"5",-0.0441157597455567,-0.0587473880572255,-0.115559395129538,-0.0720354441815673,-0.0425697958735298,-0.0645704042633596,-0.0586223082962319
"6",-0.0430552086443856,-0.0545729329139661,-0.0841428394703332,-0.0676833763104168,-0.0421583634904867,-0.0646953877400979,-0.0586223082962319
"7",-0.0412308060041606,-0.0493123397893114,-0.0635025843082628,-0.0561765108561821,-0.0417542102148966,-0.0646953877400979,-0.0586223082962319
"8",-0.0398547497620122,-0.0453175826535349,-0.0512039710403514,-0.0512674150610225,-0.041317862056984,-0.0646953877400979,-0.0586223082962319
"9",-0.0388620117292151,-0.0424758452462193,-0.0436516095878871,-0.0508303916672713,-0.0412714363588304,-0.0646953877400979,-0.0586223082962319
"10",-0.0373767605405206,-0.0387990213636207,-0.0367747093130596,-0.0447884698102523,-0.0409349288419063,-0.0646953877400979,-0.0586223082962319
"11",-0.0398885415925947,-0.0440666636050009,-0.0516816774176832,-0.0588806522990634,-0.042756500052836,-0.064718765458474,-0.0586223082962319
"12",-0.0383576756765205,-0.0402041050000575,-0.0426031028569583,-0.0507035928521493,-0.042324826994367,-0.064718765458474,-0.0586223082962319
"13",-0.0383933056187085,-0.0399088702825722,-0.0417860084850096,-0.0535837759687667,-0.0419679727948977,-0.064718765458474,-0.0586223082962319
"14",-0.0372150231877958,-0.0372048889645219,-0.0365055141267799,-0.0502104933477956,-0.0417432055623299,-0.064718765458474,-0.0586223082962319
"15",-0.0359556791474108,-0.0344381717443794,-0.0321660803571294,-0.0458347404274125,-0.0414432891840744,-0.064718765458474,-0.0586223082962319
"16",-0.0382796637307642,-0.0405274652872452,-0.0498366213151432,-0.0580175801457361,-0.0429166840479076,-0.0645019556122022,-0.0586223082962319
"17",-0.0368327148770289,-0.0370398643945392,-0.0412220092731799,-0.0494882328820162,-0.042490759641369,-0.0645019556122022,-0.0586223082962319
