"norm","t","skst","ald","aparch.t","fix.ald","his"
"1",-0.0313316343701475,-0.0296820633977067,-0.0477726107390087,-0.0410107662901282,-0.0394353281258985,-0.0582726521403724,-0.059404044486833
"2",-0.0303955483486053,-0.0286035862018959,-0.0476901833643005,-0.0373021932318807,-0.0404485839385884,-0.0582726521403724,-0.059404044486833
"3",-0.0298615485349408,-0.028031307533584,-0.0475369516577389,-0.0375734874978662,-0.0389806625141437,-0.0582726521403724,-0.059404044486833
"4",-0.0289729900999156,-0.026974292772524,-0.047509820237314,-0.0332527561113238,-0.0392198714888439,-0.0582726521403724,-0.059404044486833
"5",-0.0352053073337716,-0.0329801474028021,-0.0476083171729656,-0.0529271783307195,-0.0377830806799913,-0.0582726521403724,-0.059404044486833
"6",-0.035539256838519,-0.0334916810476355,-0.0477536344384375,-0.0537537736818194,-0.0394715829213216,-0.0581951544358509,-0.059404044486833
"7",-0.0344018950881179,-0.0322641634922207,-0.0478422755572456,-0.0469486461952329,-0.0377763383809636,-0.0581951544358509,-0.059404044486833
"8",-0.033351060400313,-0.0311173831339567,-0.0479287875642349,-0.0419111223891377,-0.0384551320547669,-0.0581951544358509,-0.059404044486833
"9",-0.0322861765862376,-0.0299723154648559,-0.0478318448298946,-0.0383245060220361,-0.0373923664764019,-0.0581951544358509,-0.059404044486833
"10",-0.0313040663307907,-0.0289083290109605,-0.0477350250835644,-0.035716057755053,-0.0375664181777421,-0.0581951544358509,-0.059404044486833
"11",-0.0333820678096372,-0.0314705784526194,-0.0474790348399906,-0.0468827085569501,-0.0385497346991219,-0.0581875544443015,-0.059404044486833
"12",-0.0322609941846066,-0.0302285280339516,-0.0474293136354808,-0.0407053856179118,-0.0372564551820058,-0.0581875544443015,-0.059404044486833
"13",-0.0378289245906065,-0.035807290962225,-0.0475072861885955,-0.0577812781557441,-0.0371760142681132,-0.0581875544443015,-0.059404044486833
"14",-0.0366216790415227,-0.0346108186524842,-0.0473672356252905,-0.0517185078933835,-0.0386581109356146,-0.0581875544443015,-0.059404044486833
"15",-0.0354824651170748,-0.0334623371346319,-0.047236444592184,-0.0471087405458093,-0.0367221058880416,-0.0581875544443015,-0.059404044486833
"16",-0.0371968280171064,-0.0356378805389472,-0.0470306708379567,-0.0549013959243894,-0.0398326121826609,-0.0580422839738819,-0.059404044486833
