"norm","t","skst","ald","aparch.t","fix.ald","his"
"1",-0.0236868990289207,-0.022474728766091,-0.0272971369592772,-0.0276613282039762,-0.0322583722575444,-0.0513470787463279,-0.0563073997951549
"2",-0.0229029540508801,-0.020952777115279,-0.0244965016320503,-0.0249658478423953,-0.0319354461646474,-0.0513470787463279,-0.0563073997951549
"3",-0.0221688316835907,-0.0196486095223143,-0.0224192772925891,-0.0235741725191474,-0.0316793549002926,-0.0513470787463279,-0.0563073997951549
"4",-0.0222122994116761,-0.0202765822670972,-0.02407605528467,-0.0263171503320336,-0.0313364010584417,-0.0513470787463279,-0.0563073997951549
"5",-0.0385210505797767,-0.0501458780475268,-0.0989939975411725,-0.0572833931073546,-0.0325351548318953,-0.0513470787463279,-0.0563073997951549
"6",-0.0375875130332059,-0.0465811820938907,-0.0720496039708738,-0.0537970801815391,-0.0321890843422759,-0.0514538998879619,-0.0563073997951549
"7",-0.0359950403387694,-0.0420903085332315,-0.0543619533698728,-0.0446193153038621,-0.0318792069537307,-0.0514538998879619,-0.0563073997951549
"8",-0.034793917328248,-0.038680056347364,-0.0438144315191642,-0.0406932318583131,-0.0315299469466482,-0.0514538998879619,-0.0563073997951549
"9",-0.0339273826197897,-0.0362541163275896,-0.0373630680213571,-0.0403661979362369,-0.0315248594014898,-0.0514538998879619,-0.0563073997951549
"10",-0.0326309462355035,-0.0331152780311672,-0.0314755143202845,-0.0355749623849988,-0.0312773287678249,-0.0514538998879619,-0.0563073997951549
"11",-0.034824111064222,-0.0375823917805069,-0.0442407667534881,-0.0468236161395907,-0.0327392220024152,-0.0514762355156534,-0.0563073997951549
"12",-0.033487858793785,-0.0342849953587507,-0.0364567134948151,-0.0402945326641202,-0.0324018787443791,-0.0514762355156534,-0.0563073997951549
"13",-0.0335189592256677,-0.0340329588201288,-0.0357386307304514,-0.0425692414864898,-0.0320909920311352,-0.0514762355156534,-0.0563073997951549
"14",-0.0324904677314154,-0.0317246188738498,-0.0312308076358844,-0.0399022595956922,-0.0319401544891255,-0.0514762355156534,-0.0563073997951549
"15",-0.0313912197074336,-0.0293627224226132,-0.027523353007328,-0.0364377396181226,-0.0317252031574937,-0.0514762355156534,-0.0563073997951549
"16",-0.0334205796569072,-0.0345683840139524,-0.0426455788348477,-0.0461748568341136,-0.0329154554332856,-0.0512947484823219,-0.0563073997951549
"17",-0.0321575763653007,-0.0315910822108342,-0.0352638984871487,-0.0393637223169208,-0.0325840082950057,-0.0512947484823219,-0.0563073997951549
"18",-0.0313159252272876,-0.0296770589098913,-0.0314115844150807,-0.0372242415323853,-0.032223433664638,-0.0512947484823219,-0.0563073997951549
"19",-0.0311176710440416,-0.029340626421324,-0.0312019445231472,-0.0384489772841334,-0.0318846374166668,-0.0512947484823219,-0.0563073997951549
"20",-0.0303010195547132,-0.0276062735589889,-0.028474134349219,-0.0359212746843696,-0.0315370542540666,-0.0512947484823219,-0.0563073997951549
"21",-0.0299445831124846,-0.0272650793378881,-0.0285454896964652,-0.0372249400243163,-0.0315655280248968,-0.0511782727135075,-0.0563073997951549
"22",-0.0313648011514327,-0.0308330297609553,-0.0364453492149725,-0.0432223314419389,-0.0313804905798438,-0.0511782727135075,-0.0563073997951549
"23",-0.0303696491305585,-0.0285454015113792,-0.0314554105253206,-0.0382190337404609,-0.0310524601331817,-0.0511782727135075,-0.0563073997951549
"24",-0.0293247036313595,-0.0263142127841077,-0.0273872346989973,-0.033820909447968,-0.0308073083892419,-0.0511782727135075,-0.0563073997951549
"25",-0.0312655281131248,-0.0316197238765013,-0.039782992839555,-0.0433217966929078,-0.0318458936444272,-0.0511782727135075,-0.0563073997951549
"26",-0.0301504209383911,-0.0290314925250772,-0.0332364814315962,-0.0377298099920154,-0.0313629643991519,-0.0511565368384111,-0.0561367023825455
"27",-0.0291394060409526,-0.0267426526403474,-0.0288063402744421,-0.0329039292410016,-0.0310471225320288,-0.0511565368384111,-0.0561367023825455
"28",-0.0304439868723012,-0.0299315969910444,-0.0356026400182619,-0.0395030016079545,-0.0308169379303593,-0.0511565368384111,-0.0561367023825455
"29",-0.0299333177073329,-0.0288293755867563,-0.0322404244259786,-0.0392177375033498,-0.0307969015429208,-0.0511565368384111,-0.0561367023825455
"30",-0.0302107456976489,-0.0296513970304011,-0.0331671606613031,-0.0421349192038178,-0.0310936190198972,-0.0511565368384111,-0.0561367023825455
"31",-0.0297533950873082,-0.0286869906123939,-0.0307480878190826,-0.0412822002544999,-0.0310696621255747,-0.0512475170772582,-0.0561367023825455
"32",-0.0305413877223787,-0.0306601857694466,-0.0346014678844575,-0.0451817410066724,-0.0315571171697271,-0.0512475170772582,-0.0561367023825455
"33",-0.0294549067892689,-0.0280953872936727,-0.0295232866431127,-0.0376223819330335,-0.0312598759570618,-0.0512475170772582,-0.0561367023825455
"34",-0.0284874113691778,-0.0259537261795032,-0.0259699416317567,-0.033425004221499,-0.0310071423422969,-0.0512475170772582,-0.0561367023825455
"35",-0.0295194165118115,-0.0285550185263734,-0.0325243870288351,-0.0390830682590604,-0.0307608354988063,-0.0512475170772582,-0.0561367023825455
"36",-0.0276400963669261,-0.0278271219925501,-0.0303642898025893,-0.0390298431739211,-0.0307463477035191,-0.051115978690282,-0.0561367023825455
"37",-0.0267078142277473,-0.025845430816222,-0.0270153857204234,-0.0349834794178605,-0.0304267451245744,-0.051115978690282,-0.0561367023825455
"38",-0.0256991415031057,-0.0238321648507301,-0.0240175665181875,-0.0298083527013659,-0.0301548003271997,-0.051115978690282,-0.0561367023825455
"39",-0.0248754851215757,-0.0223104479555936,-0.0224126313192735,-0.0276324106380343,-0.0298473312058736,-0.051115978690282,-0.0561367023825455
"40",-0.0246351573558483,-0.0224586331597246,-0.0239930933980914,-0.0299395294860005,-0.029822963375488,-0.051115978690282,-0.0561367023825455
"41",-0.0239619312536289,-0.0214420727246135,-0.0226751198276906,-0.0290267402306199,-0.0296520288556968,-0.0509331470156622,-0.0561367023825455
"42",-0.0243685015655549,-0.0231890987472821,-0.0271103005800334,-0.0331052346155047,-0.02981736663588,-0.0509331470156622,-0.0561367023825455
"43",-0.0235204435912597,-0.0215260008119602,-0.0242123126197019,-0.0291407341137528,-0.0295355423892994,-0.0509331470156622,-0.0561367023825455
"44",-0.023426268616641,-0.0217130895761137,-0.0249365434752865,-0.0306267058476806,-0.0292268305785098,-0.0509331470156622,-0.0561367023825455
"45",-0.0264618775923732,-0.029302719396173,-0.0407636574776631,-0.0411390094086528,-0.0303803543037772,-0.0509331470156622,-0.0561367023825455
"46",-0.0258230148970979,-0.0295641817091962,-0.0349262667150577,-0.0382429221644998,-0.0300545164144223,-0.0510391569625256,-0.0561367023825455
