"norm","t","skst","ald","aparch.t","fix.ald","his"
"51",-0.0335104166220559,-0.0303277324116036,-0.029847494006421,-0.0367481494322419,-0.0394822177702758,-0.0617616465857871,-0.0587509286895197
"52",-0.0325732436500777,-0.0287100125139601,-0.0284904779087081,-0.0360521720722318,-0.0379856449661736,-0.0617616465857871,-0.0587509286895197
"53",-0.0317418363926205,-0.0274147647319398,-0.027683989590416,-0.0357462326064706,-0.0382200964184756,-0.0617616465857871,-0.0587509286895197
"54",-0.030701258360132,-0.0255401712640688,-0.0257851186522549,-0.0311553245410323,-0.0366070440256757,-0.0617616465857871,-0.0587509286895197
"55",-0.0315805793883873,-0.0287882576750251,-0.0351174678801505,-0.0379579374566674,-0.0359349738130072,-0.0617616465857871,-0.0587509286895197
"56",-0.0311441303752138,-0.0282071897412404,-0.0335695666912215,-0.0378519063815475,-0.036315669048543,-0.0617605049232608,-0.0587509286895197
"57",-0.0302596286031347,-0.0265096314030974,-0.0305180300526895,-0.0342372106388211,-0.0357686585606259,-0.0617605049232608,-0.0587509286895197
"58",-0.0582452146350029,-0.0765849307644102,-0.198378351227448,-0.0876233680173755,-0.0618327679710859,-0.0617605049232608,-0.0587509286895197
"59",-0.0568811414957368,-0.0704672645782548,-0.121907388503858,-0.0812939135357738,-0.0517097864029613,-0.0617605049232608,-0.0587509286895197
"60",-0.0546451276100827,-0.0638060895689601,-0.0834952862047706,-0.072232517413795,-0.0570203716632575,-0.0617605049232608,-0.0587509286895197
"61",-0.0520898804649202,-0.0440348559346295,-0.0604842670782419,-0.0629111425951123,-0.0531338374095536,-0.061652329668971,-0.0587509286895197
"62",-0.049473160327333,-0.0419879173592141,-0.0480290444281502,-0.05275325383991,-0.0529825677921177,-0.061652329668971,-0.0587509286895197
"63",-0.0472535887407459,-0.0403048587252097,-0.0406338127522965,-0.0469127437099814,-0.0502639395389151,-0.061652329668971,-0.0587509286895197
"64",-0.0450790613810222,-0.0385425694727923,-0.0353045367845436,-0.0406155595555902,-0.0503019040046683,-0.061652329668971,-0.0587509286895197
"65",-0.0433508748844116,-0.0372888633679648,-0.0339733903026863,-0.040701194666326,-0.0493624338340289,-0.061652329668971,-0.0587509286895197
"66",-0.0417325820925894,-0.0365891347508042,-0.0324423995050428,-0.0386393861845136,-0.0469341049293867,-0.0614915198153161,-0.0587509286895197
"67",-0.0399836165507934,-0.033614552901223,-0.0296950753024703,-0.0338452169671655,-0.0471837994652705,-0.0614915198153161,-0.0587509286895197
"68",-0.0399838159447609,-0.0354701960892106,-0.039257521716168,-0.0431554159149528,-0.0478580032779218,-0.0614915198153161,-0.0587509286895197
"69",-0.0384516822342326,-0.0328894739762281,-0.0350761293987906,-0.0401767669245601,-0.0453623779819685,-0.0614915198153161,-0.0587509286895197
"70",-0.0369458601187089,-0.0303768154589152,-0.0314456919627597,-0.0348682282492518,-0.0448547898961449,-0.0614915198153161,-0.0587509286895197
"71",-0.0358867996280819,-0.0292372323732462,-0.0313607969195443,-0.0364589737728238,-0.0446209157179086,-0.0614349132073929,-0.0587509286895197
"72",-0.0350699749245239,-0.0286549070203183,-0.0319979381493198,-0.0384561019018292,-0.0436574815281594,-0.0614349132073929,-0.0587509286895197
"73",-0.0337910925502693,-0.0266412223415223,-0.0292127514041226,-0.0344710657373071,-0.0423578152568019,-0.0614349132073929,-0.0587509286895197
"74",-0.0329454316957027,-0.0258086248750058,-0.0288866269120236,-0.0340663595125079,-0.0412043188067972,-0.0614349132073929,-0.0587509286895197
"75",-0.0326526949334622,-0.0264875771085783,-0.031693703410478,-0.036419159732759,-0.0404785370821477,-0.0614349132073929,-0.0587509286895197
"76",-0.0343009718179728,-0.0324607827113259,-0.0430813795815719,-0.04701626021415,-0.0441570277042415,-0.0613336786833965,-0.0585731032706451
"77",-0.0350316853332693,-0.0344909485076255,-0.0441722858294089,-0.0500887865200639,-0.0390253682726214,-0.0613336786833965,-0.0585731032706451
"78",-0.0337477849566288,-0.0317145156921124,-0.0372913730325835,-0.0418518902733922,-0.0429512817076623,-0.0613336786833965,-0.0585731032706451
"79",-0.0328171516603794,-0.0298958825733825,-0.0335084245079314,-0.0387701438739896,-0.0386173152368576,-0.0613336786833965,-0.0585731032706451
"80",-0.033645133193119,-0.0324132373265243,-0.0408344416694029,-0.0439730705693364,-0.0398934077200108,-0.0613336786833965,-0.0585731032706451
"81",-0.0324445547605288,-0.0298856013421827,-0.0348295201291361,-0.0373914605006576,-0.0392402691186208,-0.0613913677989065,-0.0585731032706451
"82",-0.0358689246692049,-0.0385056262784327,-0.0516106214959651,-0.0524691073223948,-0.0441495695197277,-0.0613913677989065,-0.0585731032706451
"83",-0.034916852188493,-0.0359902561869792,-0.0429400554018551,-0.0474391272291541,-0.0393138540551608,-0.0613913677989065,-0.0585731032706451
"84",-0.0339136991103701,-0.0335880677937376,-0.0371138554184965,-0.042837462387979,-0.0416535801011814,-0.0613913677989065,-0.0585731032706451
"85",-0.0344129367500107,-0.0348460587131315,-0.04040570206687,-0.0481286784633994,-0.0415221103921625,-0.0613913677989065,-0.0585731032706451
"86",-0.0353685979399244,-0.0369027417919576,-0.0437119851438178,-0.053339428268373,-0.0424874584765113,-0.061281840958719,-0.0585731032706451
